ID,Item Name,Category,Category Label,Default Serving,Base Weight (g),Calories (100g),Protein (g),Carbs (g),Fats (g),Fiber (g),Potassium (mg),Sodium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Zinc (mg),Vitamin B12 (mcg),Folate B9 (mcg),Vitamin D (mcg),Oil Level Options,Consistency Options
"seed_flax","Flax Seeds (Alsi)","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,534,18.3,28.9,42.2,27.3,813,30,255,5.7,392,4.3,0,87,0,"No","No"
"seed_pumpkin","Pumpkin Seeds (Kaddu)","nuts_seeds","Nuts & Seeds","Handful (20g)",100,559,30.2,10.7,49,6,809,7,46,8.8,592,7.8,0,58,0,"No","No"
"seed_sunflower","Sunflower Seeds","nuts_seeds","Nuts & Seeds","Handful (20g)",100,584,20.8,20,51.5,8.6,645,9,78,5.3,325,5,0,227,0,"No","No"
"seed_sesame_white","White Sesame Seeds (Til)","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,573,17.7,23.4,49.7,11.8,468,11,975,14.6,351,7.8,0,97,0,"No","No"
"seed_sesame_black","Black Sesame Seeds","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,575,18,23,50,12,470,12,980,15,355,8,0,95,0,"No","No"
"seed_watermelon","Watermelon Seeds (Magaz)","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,557,28.3,15.3,47.4,5.5,648,99,54,7.3,515,10.2,0,58,0,"No","No"
"seed_muskmelon","Muskmelon Seeds (Kharbuja)","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,550,26,16,46,6,620,85,48,6.8,490,9,0,50,0,"No","No"
"seed_hemp","Hemp Hearts / Seeds","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,553,31.6,8.7,48.8,4,1200,5,70,8,700,9.9,0,110,0,"No","No"
"seed_sabja","Sabja / Basil Seeds","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,440,14.8,45,25,38,420,18,650,8.2,310,4.2,0,60,0,"No","No"
"nut_almond","Almonds (Badam, Raw)","nuts_seeds","Nuts & Seeds","Handful (25g)",100,579,21.2,21.6,49.9,12.5,733,1,269,3.7,270,3.1,0,44,0,"No","No"
"nut_walnut","Walnuts (Akhrot)","nuts_seeds","Nuts & Seeds","Handful (25g)",100,654,15.2,13.7,65.2,6.7,441,2,98,2.9,158,3.1,0,98,0,"No","No"
"nut_cashew","Cashews (Kaju)","nuts_seeds","Nuts & Seeds","Handful (25g)",100,553,18.2,30.2,43.8,3.3,660,12,37,6.7,292,5.8,0,25,0,"No","No"
"nut_pistachio","Pistachios (Pista)","nuts_seeds","Nuts & Seeds","Handful (25g)",100,560,20.2,27.2,45.3,10.6,1025,1,105,3.9,121,2.2,0,51,0,"No","No"
"nut_peanuts","Peanuts (Mungfali, Roasted)","nuts_seeds","Nuts & Seeds","Handful (30g)",100,567,25.8,16.1,49.2,8.5,705,18,92,4.6,168,3.3,0,240,0,"No","No"
"nut_peanut_butter","Peanut Butter (Unsweetened)","nuts_seeds","Nuts & Seeds","1 tbsp (20g)",100,588,25,20,50,6,649,17,43,1.9,154,2.9,0,92,0,"No","No"
"dairy_cow_milk","Cow Milk (Standard 3.5% fat)","dairy","Dairy & Milk Products","1 glass (250ml)",100,62,3.2,4.8,3.3,0,150,44,120,0.1,11,0.4,0.45,5,1,"No","No"
"dairy_buffalo_milk","Buffalo Milk (6.5% fat)","dairy","Dairy & Milk Products","1 glass (250ml)",100,97,3.8,5.2,6.5,0,178,52,180,0.2,19,0.5,0.4,6,0.8,"No","No"
"dairy_toned_milk","Toned Milk (3% fat)","dairy","Dairy & Milk Products","1 glass (250ml)",100,58,3.1,4.7,3,0,155,46,125,0.1,12,0.4,0.42,5,1,"No","No"
"dairy_double_toned","Double Toned Milk (1.5% fat)","dairy","Dairy & Milk Products","1 glass (250ml)",100,48,3.3,4.8,1.5,0,160,48,130,0.1,12,0.4,0.4,5,0.9,"No","No"
"dairy_curd_dahi","Curd / Dahi (Whole Milk)","dairy","Dairy & Milk Products","1 katori (150g)",100,61,3.5,4.7,3.3,0,141,46,140,0.1,12,0.5,0.5,7,0.4,"No","No"
"dairy_curd_skimmed","Low Fat Dahi / Curd","dairy","Dairy & Milk Products","1 katori (150g)",100,45,4.2,5,1,0,165,52,155,0.1,14,0.6,0.55,8,0.2,"No","No"
"dairy_chaas","Chaas / Salted Buttermilk","dairy","Dairy & Milk Products","1 glass (250ml)",100,28,1.6,2.5,1.2,0,110,140,85,0.1,8,0.3,0.2,3,0.1,"No","No"
"dairy_greek_yogurt","Greek Yogurt (0% Fat)","dairy","Dairy & Milk Products","1 cup (150g)",100,59,10,3.6,0.4,0,141,36,110,0.1,11,0.6,0.75,12,0.3,"No","No"
"dairy_paneer","Paneer (Fresh Cottage Cheese)","dairy","Dairy & Milk Products","100g block",100,265,18.3,1.2,20.8,0,110,22,480,0.6,28,2.4,0.8,18,0.5,"No","No"
"dairy_paneer_lowfat","Low Fat Paneer","dairy","Dairy & Milk Products","100g block",100,140,24,2,4,0,130,28,550,0.8,32,2.8,0.7,20,0.3,"No","No"
"dairy_tofu","Firm Tofu (Soy Paneer)","dairy","Dairy & Milk Products","100g block",100,76,8.1,1.9,4.8,0.9,121,7,350,5.4,58,1.6,0,19,0,"No","No"
"dairy_cheese_slice","Processed Cheese Slice","dairy","Dairy & Milk Products","1 slice (20g)",100,320,18,3,26,0,85,850,580,0.4,20,2.8,1.5,10,0.6,"No","No"
"dairy_whey_protein","Whey Protein (80% Isolate/Blend)","dairy","Dairy & Milk Products","1 scoop (30g)",100,400,80,6.7,5,1,450,160,400,0.9,60,1.5,1.2,25,0.5,"No","No"
"egg_whole_boiled","Whole Egg (Boiled)","meat","Meats, Poultry & Eggs","1 egg (50g)",100,143,12.6,0.7,9.5,0,126,124,50,1.8,10,1.1,1.1,44,2,"No","No"
"egg_white_boiled","Egg White (Boiled)","meat","Meats, Poultry & Eggs","1 egg white (33g)",100,52,10.9,0.7,0.2,0,163,166,7,0.1,11,0.03,0.09,4,0,"No","No"
"egg_omelette_2","2-Egg Omelette (with Onions/Chili)","meat","Meats, Poultry & Eggs","1 plate (110g)",100,175,12,1.2,13.8,0,170,240,55,2,14,1.3,1,40,1.8,"No","No"
"egg_bhurji","Egg Bhurji (2 Eggs Scrambled)","meat","Meats, Poultry & Eggs","1 katori (130g)",100,165,11.5,2.5,12,0.5,210,280,60,2.2,16,1.4,0.95,38,1.7,"No","No"
"chicken_breast_raw","Chicken Breast (Raw, Skinless)","meat","Meats, Poultry & Eggs","1 breast (150g)",100,120,22.5,0,2.6,0,256,65,12,1,28,1,0.34,4,0.1,"No","No"
"chicken_breast_cooked","Chicken Breast (Boiled / Grilled)","meat","Meats, Poultry & Eggs","120g portion",100,165,31,0,3.6,0,334,74,15,1,29,1,0.38,4,0.1,"No","No"
"chicken_thigh_cooked","Chicken Thigh (Skinless, Cooked)","meat","Meats, Poultry & Eggs","120g portion",100,209,26,0,10.9,0,275,86,11,1.3,23,2,0.45,6,0.2,"No","No"
"chicken_curry_homestyle","Homestyle Chicken Curry","meat","Meats, Poultry & Eggs","1 katori (180g)",100,155,18,3.5,7.8,0.8,310,340,24,1.6,32,1.4,0.3,14,0.15,"No",", , "
"fish_rohu","Rohu / Katla (Freshwater Fish)","meat","Meats, Poultry & Eggs","1 fillet (120g)",100,102,17.5,0,3.2,0,280,60,110,1.4,35,1.1,2.1,8,3.5,"No","No"
"fish_salmon","Atlantic Salmon (Cooked)","meat","Meats, Poultry & Eggs","1 fillet (130g)",100,206,22.1,0,12.3,0,363,61,9,0.3,27,0.4,3.2,15,11,"No","No"
"fish_tuna_canned","Canned Tuna (in Water)","meat","Meats, Poultry & Eggs","1 can drained (120g)",100,116,25.5,0,0.8,0,240,320,10,1.3,30,0.8,2.8,5,2,"No","No"
"meat_mutton_curry","Mutton Curry (Homestyle)","meat","Meats, Poultry & Eggs","1 katori (180g)",100,220,19.5,4,14,0.6,290,360,18,2.8,26,4.2,2.4,12,0.3,"No",", , "
"meat_prawns","Prawns / Shrimp (Cooked)","meat","Meats, Poultry & Eggs","100g portion",100,99,24,0.2,0.3,0,220,148,70,1.8,34,1.6,1.5,9,0.2,"No","No"
"fruit_banana","Banana (Kela)","fruits","Fruits & Berries","1 medium (120g)",100,89,1.1,22.8,0.3,2.6,358,1,5,0.3,27,0.2,0,20,0,"No","No"
"fruit_apple","Apple (Seb)","fruits","Fruits & Berries","1 medium (140g)",100,52,0.3,13.8,0.2,2.4,107,1,6,0.1,5,0.04,0,3,0,"No","No"
"fruit_papaya","Papaya (Papita)","fruits","Fruits & Berries","1 cup (140g)",100,43,0.5,10.8,0.3,1.7,182,8,20,0.2,21,0.1,0,37,0,"No","No"
"fruit_guava","Guava (Amrood)","fruits","Fruits & Berries","1 medium (100g)",100,68,2.6,14.3,1,5.4,417,2,18,0.3,22,0.2,0,49,0,"No","No"
"fruit_pomegranate","Pomegranate (Anaar)","fruits","Fruits & Berries","1 cup arils (150g)",100,83,1.7,18.7,1.2,4,236,3,10,0.3,12,0.4,0,38,0,"No","No"
"fruit_mango","Mango (Aam)","fruits","Fruits & Berries","1 cup sliced (150g)",100,60,0.8,15,0.4,1.6,168,1,11,0.2,10,0.1,0,43,0,"No","No"
"fruit_watermelon","Watermelon (Tarbooj)","fruits","Fruits & Berries","1 bowl (200g)",100,30,0.6,7.6,0.2,0.4,112,1,7,0.2,10,0.1,0,3,0,"No","No"
"fruit_muskmelon","Muskmelon (Kharbuja)","fruits","Fruits & Berries","1 bowl (180g)",100,34,0.8,8.2,0.2,0.9,267,16,9,0.2,12,0.2,0,21,0,"No","No"
"fruit_orange","Orange / Mosambi","fruits","Fruits & Berries","1 medium (130g)",100,47,0.9,11.8,0.1,2.4,181,0,40,0.1,10,0.1,0,30,0,"No","No"
"fruit_grapes","Grapes (Green / Black)","fruits","Fruits & Berries","1 cup (100g)",100,69,0.7,18.1,0.2,0.9,191,2,10,0.4,7,0.1,0,2,0,"No","No"
"fruit_blueberries","Blueberries","fruits","Fruits & Berries","1 cup (100g)",100,57,0.7,14.5,0.3,2.4,77,1,6,0.3,6,0.2,0,6,0,"No","No"
"fruit_strawberries","Strawberries","fruits","Fruits & Berries","1 cup (100g)",100,32,0.7,7.7,0.3,2,153,1,16,0.4,13,0.1,0,24,0,"No","No"
"fruit_dates","Dates (Khajoor)","fruits","Fruits & Berries","2 pieces (20g)",100,277,1.8,75,0.2,6.7,696,1,64,0.9,54,0.4,0,15,0,"No","No"
"fruit_amla","Indian Gooseberry (Amla)","fruits","Fruits & Berries","1 piece (30g)",100,44,0.9,10.2,0.6,4.3,225,2,25,1.2,16,0.2,0,10,0,"No","No"
"fruit_avocado","Avocado","fruits","Fruits & Berries","Half avocado (70g)",100,160,2,8.5,14.7,6.7,485,7,12,0.6,29,0.6,0,81,0,"No","No"
"bf_poha_cooked","Kanda Poha (Cooked with Peanuts)","grains","Grains, Rice & Breakfast","1 plate (160g)",100,165,3.5,28,4.5,2.2,145,180,20,3.2,42,1.1,0,42,0,"No","No"
"bf_idli","Steamed Rice Idli","grains","Grains, Rice & Breakfast","2 pieces (100g)",100,132,3.9,27.5,0.4,1.8,98,160,18,1.1,24,0.7,0,18,0,"No","No"
"bf_dosa_plain","Plain Dosa (Thin & Crispy)","grains","Grains, Rice & Breakfast","1 dosa (80g)",100,168,4.2,29,3.8,1.5,120,210,22,1.4,28,0.8,0,22,0,"No","No"
"bf_upma","Rava / Suji Upma","grains","Grains, Rice & Breakfast","1 katori (150g)",100,145,3.8,24,4,1.8,110,220,16,1.2,22,0.6,0,25,0,"No","No"
"bf_besan_chilla","Besan Chilla (Gram Flour)","grains","Grains, Rice & Breakfast","1 chilla (70g)",100,175,7.5,22,6,3.5,320,240,38,2.9,55,1.6,0,95,0,"No","No"
"bf_moong_chilla","Moong Dal Chilla","grains","Grains, Rice & Breakfast","1 chilla (70g)",100,160,8.8,21,4.2,4,380,210,44,3.4,68,1.8,0,85,0,"No","No"
"ing_oats","Rolled Oats (Raw)","grains","Grains, Rice & Breakfast","1 bowl (50g)",100,389,16.9,66.3,6.9,10.6,429,2,54,4.7,177,4,0,56,0,"No","No"
"ing_rice_cooked","White Basmati Rice (Cooked)","grains","Grains, Rice & Breakfast","1 cup cooked (150g)",100,130,2.7,28.2,0.3,0.4,35,1,10,0.2,12,0.5,0,8,0,"No","No"
"ing_brown_rice_cooked","Brown Rice (Cooked)","grains","Grains, Rice & Breakfast","1 cup cooked (150g)",100,112,2.6,23.5,0.9,1.8,86,2,10,0.5,43,0.9,0,20,0,"No","No"
"ing_quinoa_cooked","Quinoa (Cooked)","grains","Grains, Rice & Breakfast","1 cup cooked (150g)",100,120,4.4,21.3,1.9,2.8,172,7,17,1.5,64,1.1,0,42,0,"No","No"
"ing_poha","Poha (Flattened Rice, Raw)","grains","Grains, Rice & Breakfast","1 katori (60g)",100,346,6.6,77.3,1.2,2.8,180,5,24,6.5,58,1.5,0,38,0,"No","No"
"ing_suji","Suji / Semolina (Raw)","grains","Grains, Rice & Breakfast","60g portion",100,360,12.7,72.8,1.1,3.9,186,1,17,1.2,47,1.1,0,32,0,"No","No"
"ing_atta","Whole Wheat Flour (Atta, Raw)","grains","Grains, Rice & Breakfast","50g portion",100,340,13.2,72,2.5,10.7,340,2,34,3.9,138,2.8,0,44,0,"No","No"
"ing_moong_dal","Yellow Moong Dal (Cooked)","pulses","Pulses, Dals & Legumes","1 katori (150g)",100,105,7,19,0.4,7.6,290,180,27,1.8,48,1.1,0,140,0,"No",", , "
"ing_toor_dal","Toor / Arhar Dal (Cooked)","pulses","Pulses, Dals & Legumes","1 katori (150g)",100,118,7.2,20,0.7,5,310,190,30,1.9,52,1.2,0,115,0,"No",", , "
"ing_urad_dal","Urad Dal / Black Gram (Cooked)","pulses","Pulses, Dals & Legumes","1 katori (150g)",100,130,8.5,22,0.6,6.5,340,170,40,2.2,62,1.4,0,130,0,"No",", , "
"ing_masoor_dal","Red Masoor Dal (Cooked)","pulses","Pulses, Dals & Legumes","1 katori (150g)",100,116,9,20,0.4,7.9,320,175,25,2.4,50,1.3,0,125,0,"No",", , "
"ing_chana_dal","Chana Dal (Cooked)","pulses","Pulses, Dals & Legumes","1 katori (150g)",100,164,8.9,27.4,2.6,8,360,185,45,2.6,65,1.6,0,145,0,"No",", , "
"ing_chickpeas","Chickpeas / Chole (Boiled)","pulses","Pulses, Dals & Legumes","1 cup boiled (150g)",100,164,8.9,27.4,2.6,7.6,291,24,49,2.9,48,1.5,0,172,0,"No","No"
"ing_rajma","Kidney Beans / Rajma (Boiled)","pulses","Pulses, Dals & Legumes","1 cup boiled (150g)",100,127,8.7,22.8,0.5,6.4,405,12,35,2.9,45,1.1,0,130,0,"No","No"
"ing_soya_chunks","Soya Chunks (Raw)","pulses","Pulses, Dals & Legumes","40g portion",100,345,52,33,0.5,13,1650,8,350,14.2,260,4.8,0,210,0,"No","No"
"ing_spinach","Spinach (Palak, Fresh)","vegetables","Vegetables & Sabjis","1 bowl (80g)",100,23,2.9,3.6,0.4,2.2,558,79,99,2.7,79,0.5,0,194,0,"No","No"
"ing_broccoli","Broccoli (Raw/Steamed)","vegetables","Vegetables & Sabjis","1 cup (100g)",100,35,2.4,7.2,0.4,2.6,316,33,47,0.7,21,0.4,0,63,0,"No","No"
"ing_potato_boiled","Potato (Boiled)","vegetables","Vegetables & Sabjis","1 medium (130g)",100,87,1.9,20.1,0.1,1.8,379,4,10,0.8,23,0.3,0,18,0,"No","No"
"ing_sweet_potato_boiled","Sweet Potato (Boiled)","vegetables","Vegetables & Sabjis","1 medium (130g)",100,86,1.6,20.1,0.1,3,337,55,30,0.6,25,0.3,0,14,0,"No","No"
"ing_tomato","Tomato (Fresh)","vegetables","Vegetables & Sabjis","1 medium (100g)",100,18,0.9,3.9,0.2,1.2,237,5,10,0.3,11,0.2,0,15,0,"No","No"
"ing_onion","Red Onion","vegetables","Vegetables & Sabjis","1 medium (80g)",100,40,1.1,9.3,0.1,1.7,146,4,23,0.2,10,0.2,0,19,0,"No","No"
"ing_cucumber","Cucumber","vegetables","Vegetables & Sabjis","1 cup sliced (100g)",100,15,0.7,3.6,0.1,0.5,147,2,16,0.3,13,0.2,0,7,0,"No","No"
"ing_carrot","Carrot","vegetables","Vegetables & Sabjis","1 medium (80g)",100,41,0.9,9.6,0.2,2.8,320,69,33,0.3,12,0.2,0,19,0,"No","No"
"ing_bell_pepper","Bell Pepper / Capsicum","vegetables","Vegetables & Sabjis","1 medium (80g)",100,20,0.9,4.6,0.2,1.7,211,3,10,0.4,12,0.3,0,22,0,"No","No"
"ing_cauliflower","Cauliflower (Gobi)","vegetables","Vegetables & Sabjis","1 cup (100g)",100,25,1.9,5,0.3,2,299,30,22,0.4,15,0.3,0,57,0,"No","No"
"ing_mushrooms","Button Mushrooms","vegetables","Vegetables & Sabjis","1 cup sliced (70g)",100,22,3.1,3.3,0.3,1,318,5,3,0.5,9,0.5,0.04,17,2.1,"No","No"
"ing_bhindi","Bhindi / Okra (Cooked Sabzi)","vegetables","Vegetables & Sabjis","1 katori (150g)",100,85,2,7,5.5,3.2,299,120,82,0.9,57,0.6,0,60,0,"No",", "
"ing_desi_ghee","Desi Cow Ghee","oils","Oils, Ghee & Fats","1 tsp (5g)",100,900,0,0,100,0,5,2,2,0,1,0,0,0,0.5,"No","No"
"ing_mustard_oil","Mustard Oil (Kacchi Ghani)","oils","Oils, Ghee & Fats","1 tbsp (10g)",100,884,0,0,100,0,0,0,0,0,0,0,0,0,0,"No","No"
"ing_olive_oil","Extra Virgin Olive Oil","oils","Oils, Ghee & Fats","1 tbsp (10g)",100,884,0,0,100,0,1,2,1,0.6,0,0,0,0,0,"No","No"
"ing_coconut_oil","Coconut Oil","oils","Oils, Ghee & Fats","1 tbsp (10g)",100,862,0,0,100,0,0,0,0,0,0,0,0,0,0,"No","No"
"ing_butter","Table Butter (Salted/Unsalted)","oils","Oils, Ghee & Fats","1 pat (10g)",100,717,0.9,0.1,81.1,0,24,580,24,0.2,2,0.1,0.17,3,1.5,"No","No"
"ing_sunflower_oil","Sunflower Oil","oils","Oils, Ghee & Fats","1 tbsp (10g)",100,884,0,0,100,0,0,0,0,0,0,0,0,0,0,"No","No"
"ing_honey","Pure Honey","condiments","Condiments & Sweets","1 tbsp (15g)",100,304,0.3,82.4,0,0,52,4,6,0.4,2,0.2,0,2,0,"No","No"
"ing_jaggery","Jaggery (Gud)","condiments","Condiments & Sweets","1 piece (20g)",100,383,0.4,98,0.1,0,1050,30,80,11,80,0.5,0,1,0,"No","No"
"ing_sugar","Granulated Sugar","condiments","Condiments & Sweets","1 tsp (5g)",100,387,0,100,0,0,2,1,1,0,0,0,0,0,0,"No","No"
"ing_dark_chocolate","Dark Chocolate (70%)","condiments","Condiments & Sweets","2 squares (20g)",100,598,7.8,45.9,42.6,10.9,715,20,73,11.9,228,3.3,0.28,10,0.1,"No","No"
"ing_hummus","Hummus","condiments","Condiments & Sweets","2 tbsp (30g)",100,166,7.9,14.3,9.6,6,228,379,38,2.4,71,1.8,0,83,0,"No","No"
